token_id,Legendary,Color,Color,Color,Color,Color,Meka Type,Helmet,Eyes,Mask,Jaws,Arms,Chest,Colors,Weapon,Material,Material,Material,trait_count
8597,8888.0,9.864594894561598,0,0,0,0,2222.0,2222.0,2222.0,2222.0,2222.0,2222.0,2222.0,2222.0,1.2605304212168487,1.2210468470943812,0,0,2222.0
6273,8888.0,9.864594894561598,0,0,0,0,2222.0,2222.0,2222.0,2222.0,2222.0,2222.0,2222.0,2222.0,1.2605304212168487,1.2210468470943812,0,0,2222.0
6242,8888.0,9.864594894561598,0,0,0,0,2222.0,2222.0,2222.0,2222.0,2222.0,2222.0,2222.0,2222.0,1.2605304212168487,1.2210468470943812,0,0,2222.0
1922,8888.0,9.864594894561598,0,0,0,0,2222.0,2222.0,2222.0,2222.0,2222.0,2222.0,2222.0,2222.0,1.2605304212168487,1.2210468470943812,0,0,2222.0
1784,1.0004502476361998,9.864594894561598,0,0,0,0,4.6582809224318655,222.2,227.8974358974359,73.45454545454545,202.0,90.6938775510204,94.55319148936171,9.908584169453734,683.6923076923077,1269.7142857142858,0,0,9.17234262125903
2423,1.0004502476361998,9.864594894561598,0,0,0,0,8.416666666666668,167.69811320754715,88.88,107.08433734939759,84.64761904761905,296.26666666666665,77.28695652173913,9.908584169453734,341.84615384615387,1269.7142857142858,0,0,9.17234262125903
4370,1.0004502476361998,9.864594894561598,0,0,0,0,6.138121546961326,189.10638297872342,222.2,103.34883720930233,42.12322274881517,38.98245614035088,11.803452855245684,9.908584169453734,341.84615384615387,1269.7142857142858,0,0,9.17234262125903
3139,1.0004502476361998,9.864594894561598,0,0,0,0,1.9874776386404291,197.51111111111112,11.165829145728644,40.77064220183486,13.865834633385335,70.53968253968254,19.363834422657952,9.908584169453734,467.7894736842105,1269.7142857142858,0,0,9.17234262125903
7823,1.0004502476361998,9.864594894561598,0,0,0,0,6.138121546961326,306.48275862068965,141.0793650793651,66.32835820895522,42.12322274881517,66.82706766917293,58.091503267973856,9.908584169453734,126.97142857142858,1269.7142857142858,0,0,9.17234262125903
396,1.0004502476361998,16.42883548983364,14.041074249605055,3.5088827477299644,4.196411709159585,21.520581113801452,1.9874776386404291,101.0,233.89473684210526,101.0,101.0,101.0,101.0,31.742857142857144,370.3333333333333,101.0,0,0,683.6923076923077
1924,1.0004502476361998,14.041074249605055,1.9368054042275005,15.21917808219178,21.520581113801452,6.042148198504418,1.9874776386404291,101.0,233.89473684210526,101.0,101.0,101.0,101.0,31.742857142857144,370.3333333333333,101.0,0,0,683.6923076923077
3581,1.0004502476361998,9.864594894561598,0,0,0,0,4.6582809224318655,222.2,16.994263862332698,150.64406779661016,143.35483870967744,90.6938775510204,15.871428571428572,9.908584169453734,1.2605304212168487,1269.7142857142858,0,0,15.350604490500864
5162,1.0004502476361998,21.520581113801452,4.196411709159585,15.21917808219178,14.041074249605055,6.042148198504418,1.9874776386404291,101.0,177.76,101.0,101.0,101.0,101.0,31.742857142857144,370.3333333333333,101.0,0,0,683.6923076923077
945,1.0004502476361998,15.21917808219178,16.42883548983364,1.9368054042275005,4.196411709159585,21.520581113801452,1.9874776386404291,101.0,177.76,101.0,101.0,101.0,101.0,31.742857142857144,370.3333333333333,101.0,0,0,683.6923076923077
848,1.0004502476361998,16.42883548983364,15.21917808219178,1.9368054042275005,4.196411709159585,21.520581113801452,1.9874776386404291,101.0,177.76,101.0,101.0,101.0,101.0,31.742857142857144,370.3333333333333,101.0,0,0,683.6923076923077
1564,1.0004502476361998,15.21917808219178,16.42883548983364,1.9368054042275005,4.196411709159585,17.91935483870968,1.9874776386404291,101.0,177.76,101.0,101.0,101.0,101.0,31.742857142857144,370.3333333333333,101.0,0,0,683.6923076923077
1754,1.0004502476361998,4.196411709159585,15.21917808219178,3.5088827477299644,14.041074249605055,6.421965317919075,1.9874776386404291,101.0,177.76,101.0,101.0,101.0,101.0,31.742857142857144,370.3333333333333,101.0,0,0,683.6923076923077
2742,1.0004502476361998,9.864594894561598,0,0,0,0,8.416666666666668,20.574074074074076,34.71875,808.0,51.08045977011494,81.54128440366972,11.179874213836479,9.908584169453734,1.2605304212168487,740.6666666666666,0,0,15.350604490500864
7075,1.0004502476361998,9.864594894561598,0,0,0,0,1.9874776386404291,91.62886597938144,40.03603603603604,52.904761904761905,21.94567901234568,21.784313725490193,19.363834422657952,9.908584169453734,115.42857142857142,1269.7142857142858,0,0,9.17234262125903
2764,1.0004502476361998,9.864594894561598,0,0,0,0,6.138121546961326,32.91851851851852,111.1,66.32835820895522,83.06542056074767,53.54216867469879,25.91253644314869,9.908584169453734,404.0,740.6666666666666,0,0,9.17234262125903
6599,1.0004502476361998,16.42883548983364,3.5088827477299644,4.196411709159585,21.520581113801452,0,1.9874776386404291,101.0,233.89473684210526,101.0,101.0,101.0,101.0,3.20519293184277,370.3333333333333,101.0,0,0,57.71428571428571
5435,1.0004502476361998,7.279279279279279,8.645914396887159,4.452905811623246,6.421965317919075,0,8.416666666666668,93.55789473684212,56.611464968152866,808.0,84.64761904761905,18.870488322717623,77.28695652173913,3.20519293184277,126.97142857142858,1.2210468470943812,0,0,9.35578947368421
6674,1.0004502476361998,4.196411709159585,3.5088827477299644,13.48710166919575,4.452905811623246,0,1.9874776386404291,101.0,233.89473684210526,101.0,101.0,101.0,101.0,3.20519293184277,370.3333333333333,101.0,0,0,57.71428571428571
2232,1.0004502476361998,9.864594894561598,0,0,0,0,4.6582809224318655,28.215873015873015,227.8974358974359,20.766355140186917,49.10497237569061,12.396094839609484,15.871428571428572,9.908584169453734,158.71428571428572,740.6666666666666,0,0,9.17234262125903
3699,1.0004502476361998,6.632835820895523,17.91935483870968,14.041074249605055,0,0,1.9874776386404291,101.0,233.89473684210526,101.0,101.0,101.0,101.0,2.214801893845004,370.3333333333333,101.0,0,0,9.35578947368421
7313,1.0004502476361998,16.42883548983364,1.9368054042275005,4.196411709159585,21.520581113801452,0,1.9874776386404291,101.0,177.76,101.0,101.0,101.0,101.0,3.20519293184277,370.3333333333333,101.0,0,0,57.71428571428571
7616,1.0004502476361998,15.21917808219178,1.9368054042275005,4.196411709159585,21.520581113801452,0,1.9874776386404291,101.0,177.76,101.0,101.0,101.0,101.0,3.20519293184277,370.3333333333333,101.0,0,0,57.71428571428571
1633,1.0004502476361998,3.5088827477299644,16.42883548983364,4.196411709159585,17.91935483870968,0,1.9874776386404291,101.0,177.76,101.0,101.0,101.0,101.0,3.20519293184277,370.3333333333333,101.0,0,0,57.71428571428571
