token_id,face,hair,body,background,head,trait_count,piercing
9659,10000.0,10000.0,10000.0,10000.0,10000.0,1.4170327334561428,1.358326541700625
7573,10000.0,10000.0,10000.0,10000.0,10000.0,1.4170327334561428,1.358326541700625
2912,10000.0,10000.0,10000.0,10000.0,10000.0,1.4170327334561428,1.358326541700625
2560,10000.0,10000.0,10000.0,42.19409282700422,10000.0,1.4170327334561428,1.358326541700625
9243,10000.0,32.67973856209151,10000.0,10000.0,10000.0,1.4170327334561428,1.358326541700625
7813,10000.0,10000.0,10000.0,31.948881789137378,10000.0,1.4170327334561428,1.358326541700625
1099,10000.0,10000.0,10000.0,29.32551319648094,10000.0,1.4170327334561428,1.358326541700625
1803,10000.0,5000.0,10000.0,10000.0,5000.0,1.4170327334561428,1.358326541700625
7675,10000.0,10000.0,5000.0,29.32551319648094,10000.0,1.4170327334561428,1.358326541700625
6914,10000.0,227.27272727272725,10000.0,3333.3333333333335,10000.0,1.4170327334561428,1.358326541700625
7231,14.104372355430183,10000.0,10000.0,3333.3333333333335,10000.0,1.4170327334561428,1.358326541700625
7751,1250.0,10000.0,1250.0,10000.0,10000.0,1.4170327334561428,1.358326541700625
2238,1250.0,10000.0,1250.0,10000.0,10000.0,1.4170327334561428,1.358326541700625
1437,1250.0,10000.0,1250.0,10000.0,10000.0,1.4170327334561428,1.358326541700625
5857,10000.0,10000.0,250.0,29.32551319648094,10000.0,1.4170327334561428,1.358326541700625
7348,666.6666666666666,5000.0,10000.0,10000.0,3333.3333333333335,1.4170327334561428,1.358326541700625
559,909.090909090909,10000.0,1250.0,10000.0,714.2857142857143,1.4170327334561428,1.358326541700625
3954,1250.0,10000.0,1250.0,42.19409282700422,10000.0,1.4170327334561428,1.358326541700625
9232,1250.0,10000.0,1250.0,22.93577981651376,10000.0,1.4170327334561428,1.358326541700625
9295,1250.0,5000.0,1250.0,10000.0,5000.0,1.4170327334561428,1.358326541700625
5337,1250.0,5000.0,1250.0,10000.0,5000.0,1.4170327334561428,1.358326541700625
1162,1250.0,5000.0,1250.0,10000.0,5000.0,1.4170327334561428,1.358326541700625
21,666.6666666666666,10000.0,34.602076124567475,13.774104683195592,10000.0,1.4170327334561428,1.358326541700625
6343,14.40922190201729,5000.0,10000.0,22.93577981651376,5000.0,1.4170327334561428,1.358326541700625
448,1428.5714285714287,2000.0,1111.111111111111,5000.0,10000.0,1.4170327334561428,1.358326541700625
2197,909.090909090909,5000.0,10000.0,29.32551319648094,714.2857142857143,1.4170327334561428,1.358326541700625
2927,10000.0,2000.0,1111.111111111111,14.450867052023122,1250.0,1.4170327334561428,1.358326541700625
749,1428.5714285714287,10000.0,1111.111111111111,22.93577981651376,1250.0,1.4170327334561428,1.358326541700625
2257,909.090909090909,227.27272727272725,1250.0,10000.0,714.2857142857143,1.4170327334561428,1.358326541700625
7300,10000.0,1000.0,196.078431372549,13.774104683195592,833.3333333333334,1.4170327334561428,1.358326541700625
5912,10000.0,53.763440860215056,1250.0,14.471780028943561,714.2857142857143,1.4170327334561428,1.358326541700625
1979,909.090909090909,294.11764705882354,10000.0,41.1522633744856,714.2857142857143,1.4170327334561428,1.358326541700625
2379,10000.0,32.67973856209151,32.25806451612903,13.477088948787062,714.2857142857143,1.4170327334561428,1.358326541700625
7796,666.6666666666666,5000.0,30.211480362537767,13.36898395721925,5000.0,1.4170327334561428,1.358326541700625
316,84.74576271186442,10000.0,30.674846625766875,14.492753623188404,10.504201680672269,1.4170327334561428,1.358326541700625
6623,666.6666666666666,48.309178743961354,31.545741324921135,5000.0,3333.3333333333335,1.4170327334561428,1.358326541700625
6407,666.6666666666666,5000.0,33.333333333333336,15.174506828528072,3333.3333333333335,1.4170327334561428,1.358326541700625
